epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,3127.47,0.26266,0.16928,0.90175,0.8133,0.92007,0.91573,0.89428,0.19892,0.29582,0.78605,0.0018325,0.0018325,0.0018325
167,3146.31,0.27292,0.17371,0.90906,0.81271,0.9196,0.91921,0.8972,0.19899,0.29322,0.78542,0.001783,0.001783,0.001783
168,3165.28,0.27188,0.17451,0.905,0.81006,0.91437,0.92063,0.89742,0.2014,0.29663,0.78663,0.0017335,0.0017335,0.0017335
169,3184.17,0.26548,0.17188,0.90993,0.81859,0.90153,0.92034,0.8964,0.2025,0.29863,0.78705,0.001684,0.001684,0.001684
170,3203.22,0.27299,0.17174,0.91001,0.87797,0.83631,0.91867,0.89585,0.20139,0.29381,0.78561,0.0016345,0.0016345,0.0016345
171,3222.18,0.26836,0.17131,0.90785,0.81452,0.89982,0.91761,0.8944,0.20115,0.29536,0.78585,0.001585,0.001585,0.001585
172,3241.12,0.26957,0.17056,0.91018,0.87226,0.83657,0.91622,0.89444,0.20004,0.29542,0.785,0.0015355,0.0015355,0.0015355
173,3259.93,0.26425,0.16983,0.90677,0.86895,0.83381,0.91358,0.89027,0.199,0.29899,0.78413,0.001486,0.001486,0.001486
174,3278.69,0.26525,0.16804,0.90366,0.85589,0.83809,0.90857,0.88686,0.1989,0.30874,0.78397,0.0014365,0.0014365,0.0014365
175,3297.39,0.2607,0.16954,0.90493,0.87385,0.826,0.90395,0.8818,0.19809,0.31404,0.78408,0.001387,0.001387,0.001387
176,3316.35,0.26307,0.16821,0.90507,0.83046,0.8538,0.90264,0.87946,0.19783,0.31776,0.78371,0.0013375,0.0013375,0.0013375
177,3335.32,0.26203,0.16454,0.90345,0.82997,0.85815,0.89923,0.87781,0.1978,0.32377,0.78362,0.001288,0.001288,0.001288
178,3354.23,0.2632,0.16739,0.90306,0.83089,0.87096,0.90425,0.88156,0.19701,0.31488,0.78326,0.0012385,0.0012385,0.0012385
179,3373.24,0.25922,0.16307,0.90473,0.82916,0.88143,0.90411,0.88049,0.19653,0.3138,0.78345,0.001189,0.001189,0.001189
180,3392.06,0.26428,0.1659,0.91099,0.82795,0.87762,0.9042,0.88009,0.19613,0.31316,0.78244,0.0011395,0.0011395,0.0011395
181,3410.85,0.26252,0.16395,0.90411,0.83041,0.87757,0.90743,0.88272,0.19659,0.31032,0.78235,0.00109,0.00109,0.00109
